loan_amnt,funded_amnt,term,int_rate,grade,sub_grade,annual_inc,purpose,loan_status,dti,installment,home_ownership,verification_status,emp_length,addr_state,Income Band,Default
25000,25000, 60 months,17.97,D,D1,53000.0,debt_consolidation,Current,12.64,634.43,RENT,Verified,7 years,AL,Medium Income,0
4000,4000, 36 months,11.8,B,B4,20000.0,debt_consolidation,Current,12.24,132.48,RENT,Not Verified,10+ years,PA,Low Income,0
1250,1250, 36 months,23.4,E,E1,52000.0,other,Current,9.9,48.65,RENT,Source Verified,10+ years,IN,Medium Income,0
10400,10400, 36 months,12.98,B,B5,56099.0,credit_card,Current,20.92,350.32,MORTGAGE,Source Verified,10+ years,CO,Medium Income,0
7500,7500, 36 months,11.8,B,B4,32700.0,debt_consolidation,Current,28.26,248.4,MORTGAGE,Not Verified,10+ years,AR,Low Income,0
7000,7000, 36 months,10.72,B,B2,97000.0,other,Current,33.17,228.25,MORTGAGE,Source Verified,< 1 year,VA,High Income,0
25000,25000, 36 months,12.98,B,B5,30000.0,debt_consolidation,Current,24.88,842.11,OWN,Not Verified,10+ years,RI,Low Income,0
8000,8000, 36 months,11.8,B,B4,85000.0,credit_card,Current,23.61,264.96,MORTGAGE,Not Verified,7 years,AL,High Income,0
9000,9000, 36 months,10.33,B,B1,75000.0,credit_card,Current,13.14,291.81,MORTGAGE,Not Verified,4 years,WI,Medium Income,0
9600,9600, 36 months,15.02,C,C3,60000.0,debt_consolidation,Current,32.64,332.89,OWN,Not Verified,10+ years,NJ,Medium Income,0
8000,8000, 36 months,10.72,B,B2,82923.0,car,Current,18.55,260.86,MORTGAGE,Source Verified,10+ years,CO,High Income,0
12000,12000, 36 months,16.14,C,C4,24000.0,credit_card,Current,23.55,422.72,RENT,Source Verified,6 years,AZ,Low Income,0
20000,20000, 36 months,13.56,C,C1,40000.0,debt_consolidation,Current,31.02,679.29,MORTGAGE,Verified,9 years,CT,Low Income,0
40000,40000, 60 months,14.47,C,C2,500000.0,debt_consolidation,Current,13.47,940.51,MORTGAGE,Source Verified,< 1 year,GA,Very High Income,0
14400,14400, 60 months,14.47,C,C2,110000.0,debt_consolidation,Current,10.83,338.59,RENT,Not Verified,3 years,CA,High Income,0
22400,22400, 36 months,8.81,A,A5,30000.0,debt_consolidation,Current,43.32,710.34,MORTGAGE,Source Verified,2 years,CT,Low Income,0
25000,25000, 36 months,10.33,B,B1,78000.0,debt_consolidation,Current,25.67,810.56,OWN,Not Verified,2 years,TN,Medium Income,0
26000,26000, 60 months,18.94,D,D2,40000.0,debt_consolidation,Current,20.61,673.6,MORTGAGE,Source Verified,10+ years,MI,Low Income,0
25000,25000, 60 months,15.02,C,C3,63500.0,debt_consolidation,Current,27.52,595.02,MORTGAGE,Verified,10+ years,NC,Medium Income,0
1000,1000, 36 months,30.75,F,F5,50000.0,other,Current,19.9,42.87,MORTGAGE,Verified,10+ years,IL,Medium Income,0
2000,2000, 36 months,8.19,A,A4,100000.0,credit_card,Current,16.42,62.85,MORTGAGE,Not Verified,4 years,PA,High Income,0
9000,9000, 36 months,6.46,A,A1,35000.0,debt_consolidation,Current,32.65,275.68,MORTGAGE,Source Verified,10+ years,CT,Low Income,0
20000,20000, 36 months,13.56,C,C1,98500.0,debt_consolidation,Current,9.06,679.29,MORTGAGE,Source Verified,10+ years,CA,High Income,0
29450,29450, 36 months,8.19,A,A4,161000.0,debt_consolidation,Current,10.99,925.44,MORTGAGE,Source Verified,10+ years,CA,Very High Income,0
34625,34625, 60 months,16.14,C,C4,137500.0,debt_consolidation,Current,27.88,844.6,MORTGAGE,Source Verified,10+ years,TX,Very High Income,0
31450,31450, 36 months,7.56,A,A3,130000.0,debt_consolidation,Current,9.29,979.16,MORTGAGE,Verified,7 years,NV,Very High Income,0
15500,15500, 36 months,10.72,B,B2,52000.0,credit_card,Current,16.66,505.4,RENT,Not Verified,10+ years,CA,Medium Income,0
12000,12000, 36 months,11.8,B,B4,79365.0,debt_consolidation,Current,29.7,397.43,RENT,Source Verified,10+ years,NY,Medium Income,0
36000,36000, 60 months,17.97,D,D1,160000.0,debt_consolidation,Current,33.17,913.58,RENT,Source Verified,9 years,MA,Very High Income,0
30000,30000, 36 months,16.14,C,C4,116000.0,debt_consolidation,Current,28.21,1056.79,MORTGAGE,Source Verified,7 years,TX,High Income,0
3000,3000, 36 months,17.97,D,D1,50000.0,debt_consolidation,Current,30.03,108.42,RENT,Source Verified,10+ years,NY,Medium Income,0
35000,35000, 36 months,12.98,B,B5,112000.0,debt_consolidation,Current,15.55,1178.96,RENT,Source Verified,2 years,IL,High Income,0
26500,26500, 60 months,11.31,B,B3,134000.0,credit_card,Current,18.91,580.28,MORTGAGE,Source Verified,10+ years,OK,Very High Income,0
4000,4000, 36 months,23.4,E,E1,90000.0,debt_consolidation,Current,26.33,155.68,RENT,Source Verified,3 years,NJ,High Income,0
12000,12000, 60 months,22.35,D,D5,65000.0,credit_card,Current,13.05,333.82,OWN,Source Verified,< 1 year,IL,Medium Income,0
3000,3000, 36 months,15.02,C,C3,60000.0,home_improvement,Current,21.36,104.03,MORTGAGE,Source Verified,4 years,NY,Medium Income,0
8000,8000, 36 months,14.47,C,C2,42300.0,credit_card,Current,19.49,275.26,RENT,Not Verified,4 years,KY,Medium Income,0
10250,10250, 36 months,10.72,B,B2,96000.0,debt_consolidation,Current,8.31,334.22,MORTGAGE,Not Verified,10+ years,CA,High Income,0
22400,22400, 60 months,16.14,C,C4,56000.0,credit_card,Current,18.47,546.4,OWN,Source Verified,10+ years,VA,Medium Income,0
27000,27000, 60 months,15.02,C,C3,45000.0,debt_consolidation,Current,23.55,642.62,MORTGAGE,Source Verified,10+ years,MO,Medium Income,0
24000,24000, 36 months,19.92,D,D3,30000.0,credit_card,Current,67.68,890.95,RENT,Verified,7 years,TX,Low Income,0
6500,6500, 36 months,10.72,B,B2,50000.0,debt_consolidation,Current,24.29,211.95,RENT,Not Verified,< 1 year,CA,Medium Income,0
25000,25000, 36 months,16.91,C,C5,95000.0,debt_consolidation,Current,13.78,890.2,RENT,Source Verified,10+ years,CA,High Income,0
8000,8000, 36 months,10.72,B,B2,95000.0,credit_card,Current,10.47,260.86,RENT,Not Verified,2 years,IL,High Income,0
21000,21000, 60 months,15.02,C,C3,50000.0,debt_consolidation,Current,0.0,499.81,OWN,Source Verified,5 years,OH,Medium Income,0
10000,10000, 36 months,14.47,C,C2,47000.0,credit_card,Current,15.25,344.07,RENT,Source Verified,10+ years,NC,Medium Income,0
7500,7500, 36 months,16.14,C,C4,50000.0,home_improvement,Current,16.11,264.2,OWN,Source Verified,10+ years,NC,Medium Income,0
30000,30000, 36 months,16.91,C,C5,40000.0,debt_consolidation,Current,16.44,1068.24,RENT,Verified,10+ years,NJ,Low Income,0
3775,3775, 36 months,13.56,C,C1,5000.0,home_improvement,Current,66.86,128.22,OWN,Source Verified,10+ years,KY,Low Income,0
5600,5600, 36 months,11.31,B,B3,20166.0,debt_consolidation,Current,39.58,184.17,RENT,Not Verified,10+ years,CT,Low Income,0
6000,6000, 36 months,16.14,C,C4,40000.0,other,Current,3.75,211.36,RENT,Source Verified,3 years,MD,Low Income,0
16000,16000, 36 months,15.02,C,C3,50000.0,debt_consolidation,Current,17.79,554.81,OWN,Source Verified,4 years,AL,Medium Income,0
15000,15000, 36 months,16.14,C,C4,60000.0,credit_card,Current,18.86,528.4,RENT,Source Verified,3 years,GA,Medium Income,0
21000,21000, 60 months,15.02,C,C3,109000.0,debt_consolidation,Current,23.25,499.81,RENT,Not Verified,10+ years,WI,High Income,0
25000,25000, 60 months,20.89,D,D4,70000.0,debt_consolidation,Current,26.08,674.79,MORTGAGE,Not Verified,1 year,NC,Medium Income,0
1000,1000, 36 months,8.19,A,A4,78000.0,other,Current,8.58,31.43,MORTGAGE,Source Verified,10+ years,WA,Medium Income,0
16000,16000, 60 months,20.89,D,D4,200000.0,credit_card,Current,14.42,431.87,RENT,Verified,10+ years,NC,Very High Income,0
8500,8500, 36 months,16.91,C,C5,70200.0,debt_consolidation,Current,3.62,302.67,MORTGAGE,Not Verified,7 years,VA,Medium Income,0
30000,30000, 36 months,22.35,D,D5,100000.0,debt_consolidation,Fully Paid,30.46,1151.16,MORTGAGE,Source Verified,5 years,CA,High Income,0
3000,3000, 36 months,8.81,A,A5,71250.0,debt_consolidation,Current,5.71,95.14,RENT,Not Verified,10+ years,WA,Medium Income,0
16000,16000, 36 months,23.4,E,E1,140000.0,credit_card,Current,18.39,622.7,MORTGAGE,Not Verified,10+ years,CA,Very High Income,0
8000,8000, 36 months,12.98,B,B5,95000.0,credit_card,Current,9.44,269.48,MORTGAGE,Source Verified,4 years,MI,High Income,0
30000,30000, 60 months,17.97,D,D1,65000.0,debt_consolidation,Current,8.12,761.32,MORTGAGE,Source Verified,10+ years,CA,Medium Income,0
6000,6000, 36 months,14.47,C,C2,55000.0,credit_card,Current,10.65,206.44,RENT,Verified,10+ years,NY,Medium Income,0
5000,5000, 36 months,12.98,B,B5,80000.0,debt_consolidation,Current,2.39,168.43,RENT,Not Verified,2 years,NY,Medium Income,0
10000,10000, 36 months,16.14,C,C4,90000.0,debt_consolidation,Current,7.85,352.27,MORTGAGE,Not Verified,< 1 year,CA,High Income,0
20000,20000, 60 months,16.14,C,C4,30000.0,other,Current,38.16,487.86,MORTGAGE,Source Verified,10+ years,IL,Low Income,0
22650,22650, 36 months,10.72,B,B2,145000.0,home_improvement,Current,17.06,738.54,MORTGAGE,Not Verified,7 years,FL,Very High Income,0
10000,10000, 36 months,11.31,B,B3,35000.0,debt_consolidation,Current,15.6,328.86,OWN,Not Verified,2 years,WA,Low Income,0
24000,24000, 36 months,10.33,B,B1,100000.0,debt_consolidation,Current,19.14,778.14,MORTGAGE,Not Verified,10+ years,IL,High Income,0
4000,4000, 36 months,18.94,D,D2,37000.0,debt_consolidation,Current,9.34,146.51,MORTGAGE,Not Verified,< 1 year,MO,Low Income,0
30000,30000, 36 months,15.02,C,C3,90000.0,debt_consolidation,Current,22.23,1040.26,RENT,Verified,10+ years,NE,High Income,0
11000,11000, 36 months,16.14,C,C4,240000.0,debt_consolidation,Current,9.03,387.49,MORTGAGE,Not Verified,3 years,MI,Very High Income,0
24000,24000, 60 months,13.56,C,C1,125000.0,credit_card,Current,25.29,552.98,MORTGAGE,Source Verified,10+ years,IL,Very High Income,0
18000,18000, 60 months,10.72,B,B2,32000.0,debt_consolidation,Current,46.63,388.86,MORTGAGE,Verified,10+ years,CA,Low Income,0
18000,18000, 36 months,8.81,A,A5,40000.0,debt_consolidation,Current,12.81,570.81,RENT,Source Verified,< 1 year,NY,Low Income,0
5525,5525, 36 months,15.02,C,C3,118000.0,car,Current,3.25,191.59,RENT,Not Verified,10+ years,FL,High Income,0
2525,2525, 36 months,16.91,C,C5,21000.0,credit_card,Current,15.89,89.92,RENT,Verified,1 year,FL,Low Income,0
32000,32000, 60 months,14.47,C,C2,110000.0,home_improvement,Current,26.11,752.41,MORTGAGE,Source Verified,10+ years,PA,High Income,0
16000,16000, 36 months,25.34,E,E3,52000.0,debt_consolidation,Current,21.26,639.04,RENT,Verified,2 years,VA,Medium Income,0
16000,16000, 36 months,14.47,C,C2,200000.0,debt_consolidation,Current,23.53,550.51,RENT,Source Verified,< 1 year,PA,Very High Income,0
18500,18500, 60 months,12.98,B,B5,96500.0,credit_card,Current,27.86,420.75,RENT,Source Verified,5 years,MN,High Income,0
3000,3000, 36 months,10.72,B,B2,30000.0,credit_card,Current,24.2,97.82,MORTGAGE,Not Verified,10+ years,TX,Low Income,0
23000,23000, 60 months,19.92,D,D3,75000.0,debt_consolidation,Current,32.14,608.34,OWN,Not Verified,10+ years,NY,Medium Income,0
1500,1500, 36 months,17.97,D,D1,56160.0,other,Current,26.58,54.21,MORTGAGE,Verified,10+ years,MD,Medium Income,0
24000,24000, 60 months,12.98,B,B5,380000.0,debt_consolidation,Current,7.05,545.83,MORTGAGE,Not Verified,10+ years,LA,Very High Income,0
5000,5000, 36 months,16.14,C,C4,50000.0,credit_card,Current,3.35,176.14,RENT,Source Verified,3 years,CA,Medium Income,0
25000,25000, 36 months,10.33,B,B1,80000.0,debt_consolidation,Current,31.23,810.56,MORTGAGE,Not Verified,10+ years,SC,Medium Income,0
2500,2500, 36 months,20.89,D,D4,29000.0,other,Current,2.57,94.05,RENT,Source Verified,3 years,NY,Low Income,0
12000,12000, 60 months,14.47,C,C2,62000.0,debt_consolidation,Current,18.76,282.16,RENT,Not Verified,10+ years,NH,Medium Income,0
9600,9600, 36 months,23.4,E,E1,100000.0,small_business,Current,15.79,373.62,RENT,Not Verified,3 years,OH,High Income,0
10000,10000, 36 months,11.31,B,B3,10020.0,other,Current,123.47,328.86,MORTGAGE,Verified,10+ years,CA,Low Income,0
7000,7000, 36 months,15.02,C,C3,52000.0,debt_consolidation,Current,20.89,242.73,MORTGAGE,Not Verified,7 years,RI,Medium Income,0
8000,8000, 36 months,23.4,E,E1,49400.0,other,Current,23.92,311.35,RENT,Verified,1 year,CA,Medium Income,0
5000,5000, 36 months,16.14,C,C4,115000.0,other,Current,17.07,176.14,MORTGAGE,Not Verified,< 1 year,NE,High Income,0
10000,10000, 36 months,10.33,B,B1,280000.0,debt_consolidation,Current,6.15,324.23,MORTGAGE,Not Verified,< 1 year,OR,Very High Income,0
8000,8000, 36 months,10.33,B,B1,38000.0,credit_card,Current,19.84,259.38,MORTGAGE,Source Verified,6 years,PA,Low Income,0
4000,4000, 36 months,18.94,D,D2,19000.0,major_purchase,Current,21.29,146.51,RENT,Not Verified,10+ years,CA,Low Income,0
24000,24000, 60 months,11.31,B,B3,72000.0,debt_consolidation,Current,21.12,525.54,MORTGAGE,Not Verified,1 year,IL,Medium Income,0
25000,25000, 60 months,16.14,C,C4,45000.0,debt_consolidation,Current,37.09,609.82,MORTGAGE,Not Verified,5 years,LA,Medium Income,0
3000,3000, 36 months,17.97,D,D1,33000.0,other,Current,7.31,108.42,MORTGAGE,Source Verified,7 years,TX,Low Income,0
35000,35000, 60 months,18.94,D,D2,90000.0,debt_consolidation,Current,13.96,906.77,RENT,Source Verified,10+ years,OH,High Income,0
8800,8800, 36 months,16.91,C,C5,21000.0,debt_consolidation,Current,32.69,313.35,MORTGAGE,Not Verified,< 1 year,TX,Low Income,0
10500,10500, 60 months,11.8,B,B4,36000.0,debt_consolidation,Current,30.57,232.51,OWN,Verified,10+ years,AZ,Low Income,0
25000,25000, 60 months,14.47,C,C2,65000.0,credit_card,Current,29.36,587.82,MORTGAGE,Verified,3 years,VT,Medium Income,0
5500,5500, 36 months,11.31,B,B3,98000.0,debt_consolidation,Current,14.62,180.88,MORTGAGE,Not Verified,5 years,TX,High Income,0
12000,12000, 60 months,14.47,C,C2,39000.0,debt_consolidation,Current,16.06,282.16,MORTGAGE,Source Verified,6 years,NY,Low Income,0
8500,8500, 36 months,16.14,C,C4,80000.0,home_improvement,Current,16.59,299.43,MORTGAGE,Not Verified,8 years,TX,Medium Income,0
35000,35000, 60 months,20.89,D,D4,80000.0,other,Current,36.84,944.71,RENT,Verified,10+ years,TX,Medium Income,0
8250,8250, 36 months,17.97,D,D1,68000.0,debt_consolidation,Current,26.42,298.14,MORTGAGE,Not Verified,10+ years,AL,Medium Income,0
40000,40000, 60 months,16.14,C,C4,45000.0,credit_card,Fully Paid,50.53,975.71,MORTGAGE,Verified,< 1 year,OH,Medium Income,0
20000,20000, 36 months,10.33,B,B1,60000.0,debt_consolidation,Current,17.66,648.45,MORTGAGE,Not Verified,10+ years,OH,Medium Income,0
18000,18000, 36 months,8.81,A,A5,100203.0,debt_consolidation,Current,12.3,570.81,RENT,Not Verified,3 years,DC,High Income,0
11000,11000, 36 months,14.47,C,C2,89000.0,debt_consolidation,Current,24.82,378.47,MORTGAGE,Not Verified,10+ years,NJ,High Income,0
12000,12000, 36 months,16.14,C,C4,70000.0,credit_card,Current,18.96,422.72,RENT,Source Verified,4 years,FL,Medium Income,0
15000,15000, 60 months,13.56,C,C1,72000.0,credit_card,Current,8.98,345.62,RENT,Not Verified,< 1 year,GA,Medium Income,0
4000,4000, 36 months,16.91,C,C5,54000.0,home_improvement,Current,9.64,142.44,RENT,Source Verified,5 years,FL,Medium Income,0
32000,32000, 60 months,12.98,B,B5,70000.0,debt_consolidation,Current,20.17,727.78,MORTGAGE,Verified,4 years,FL,Medium Income,0
15000,15000, 60 months,14.47,C,C2,120000.0,debt_consolidation,Current,13.58,352.69,MORTGAGE,Source Verified,10+ years,SC,High Income,0
18000,18000, 60 months,14.47,C,C2,60000.0,debt_consolidation,Current,18.12,423.23,MORTGAGE,Verified,7 years,UT,Medium Income,0
13000,13000, 36 months,17.97,D,D1,92360.0,home_improvement,Current,27.44,469.79,MORTGAGE,Source Verified,10+ years,GA,High Income,0
10000,10000, 36 months,16.14,C,C4,63000.0,debt_consolidation,Current,18.65,352.27,MORTGAGE,Not Verified,1 year,IL,Medium Income,0
3600,3600, 36 months,11.8,B,B4,50000.0,other,Current,16.11,119.23,MORTGAGE,Source Verified,5 years,KY,Medium Income,0
22000,22000, 60 months,11.8,B,B4,155000.0,credit_card,Current,28.56,487.16,MORTGAGE,Source Verified,10+ years,IN,Very High Income,0
10450,10450, 36 months,18.94,D,D2,70000.0,debt_consolidation,Current,27.38,382.74,MORTGAGE,Source Verified,10+ years,TN,Medium Income,0
10000,10000, 36 months,11.8,B,B4,100000.0,credit_card,Current,23.3,331.19,RENT,Not Verified,9 years,CA,High Income,0
10000,10000, 36 months,18.94,D,D2,37115.0,other,Current,33.57,366.26,MORTGAGE,Not Verified,7 years,NV,Low Income,0
5000,5000, 36 months,11.31,B,B3,40000.0,debt_consolidation,Current,9.66,164.43,RENT,Source Verified,2 years,NC,Low Income,0
20000,20000, 36 months,7.56,A,A3,100000.0,credit_card,Fully Paid,18.92,622.68,MORTGAGE,Not Verified,10+ years,WA,High Income,0
17100,17100, 36 months,18.94,D,D2,38000.0,debt_consolidation,Current,38.09,626.3,RENT,Verified,10+ years,PA,Low Income,0
10475,10475, 36 months,11.31,B,B3,66150.0,debt_consolidation,Current,7.4,344.48,RENT,Source Verified,6 years,TX,Medium Income,0
10000,10000, 60 months,23.4,E,E1,55000.0,debt_consolidation,Current,13.51,284.21,RENT,Source Verified,< 1 year,CA,Medium Income,0
7500,7500, 36 months,11.31,B,B3,40500.0,debt_consolidation,Current,31.61,246.65,MORTGAGE,Verified,7 years,IL,Medium Income,0
4000,4000, 36 months,10.72,B,B2,56000.0,credit_card,Current,31.03,130.43,MORTGAGE,Verified,10+ years,GA,Medium Income,0
15400,15400, 60 months,14.47,C,C2,110000.0,debt_consolidation,Current,36.55,362.1,MORTGAGE,Not Verified,3 years,OH,High Income,0
35000,35000, 36 months,14.47,C,C2,360000.0,credit_card,Current,19.9,1204.23,MORTGAGE,Verified,8 years,FL,Very High Income,0
30000,30000, 60 months,27.27,E,E5,50000.0,debt_consolidation,Current,23.62,920.91,RENT,Not Verified,1 year,AZ,Medium Income,0
16800,16800, 60 months,17.97,D,D1,75000.0,debt_consolidation,Current,18.53,426.34,RENT,Not Verified,10+ years,CA,Medium Income,0
25000,25000, 60 months,15.02,C,C3,75000.0,debt_consolidation,Current,32.93,595.02,MORTGAGE,Not Verified,10+ years,WA,Medium Income,0
10000,10000, 36 months,16.14,C,C4,94800.0,credit_card,Current,28.59,352.27,MORTGAGE,Source Verified,10+ years,FL,High Income,0
20000,20000, 60 months,12.98,B,B5,70000.0,debt_consolidation,Current,21.38,454.86,MORTGAGE,Verified,1 year,CA,Medium Income,0
35000,35000, 60 months,15.02,C,C3,106095.0,debt_consolidation,Current,15.38,833.02,MORTGAGE,Source Verified,10+ years,MA,High Income,0
4000,4000, 36 months,18.94,D,D2,80000.0,other,Current,12.45,146.51,OWN,Verified,10+ years,VA,Medium Income,0
10000,10000, 60 months,16.14,C,C4,90000.0,debt_consolidation,Current,8.8,243.93,RENT,Not Verified,2 years,NJ,High Income,0
4500,4500, 36 months,11.31,B,B3,38500.0,credit_card,Fully Paid,4.64,147.99,RENT,Not Verified,10+ years,TX,Low Income,0
14000,14000, 60 months,26.31,E,E4,55000.0,debt_consolidation,Current,7.11,421.74,RENT,Not Verified,10+ years,CA,Medium Income,0
6500,6500, 36 months,11.8,B,B4,46500.0,debt_consolidation,Current,21.01,215.28,RENT,Source Verified,2 years,AL,Medium Income,0
29625,29625, 60 months,15.02,C,C3,48000.0,debt_consolidation,Current,16.38,705.09,OWN,Not Verified,< 1 year,TX,Medium Income,0
16000,16000, 60 months,27.27,E,E5,88000.0,debt_consolidation,Current,28.88,491.16,OWN,Source Verified,7 years,IN,High Income,0
12000,12000, 60 months,14.47,C,C2,67000.0,credit_card,Current,28.39,282.16,RENT,Not Verified,1 year,VA,Medium Income,0
35000,35000, 60 months,15.02,C,C3,290000.0,debt_consolidation,Current,7.6,833.02,MORTGAGE,Source Verified,10+ years,MO,Very High Income,0
30000,30000, 60 months,26.31,E,E4,62000.0,debt_consolidation,Current,37.24,903.73,OWN,Source Verified,10+ years,CA,Medium Income,0
16000,16000, 36 months,14.47,C,C2,150000.0,other,Current,17.94,550.51,RENT,Source Verified,10+ years,CA,Very High Income,0
24000,24000, 36 months,15.02,C,C3,105000.0,credit_card,Current,22.14,832.21,OWN,Not Verified,3 years,LA,High Income,0
14000,14000, 36 months,16.14,C,C4,77479.0,other,Current,23.65,493.17,MORTGAGE,Not Verified,10+ years,GA,Medium Income,0
40000,40000, 60 months,11.31,B,B3,136000.0,debt_consolidation,Current,15.41,875.9,MORTGAGE,Not Verified,< 1 year,MI,Very High Income,0
24000,24000, 60 months,27.27,E,E5,140000.0,debt_consolidation,Current,23.92,736.73,MORTGAGE,Not Verified,10+ years,OR,Very High Income,0
